,rec_ind0,rec_ind1,rec_ind2,rec_ind3,sp_name,is_invasive
0,0,0,0,31,ex_0_DMSO_Control_S31,1
1,0,0,0,32,ex_0_DMSO_Control_S32,1
2,0,0,0,33,ex_0_DMSO_Control_S33,1
3,0,0,0,34,ex_0_DMSO_Control_S34,1
4,0,0,0,35,ex_0_DMSO_Control_S35,0
5,0,0,0,36,ex_0_DMSO_Control_S36,1
6,0,0,0,37,ex_0_DMSO_Control_S37,1
7,0,0,0,38,ex_0_DMSO_Control_S38,1
8,0,0,0,39,ex_0_DMSO_Control_S39,1
9,0,0,0,40,ex_0_DMSO_Control_S40,0
10,0,2,0,51,ex_0_Dinac_10uM_S51,0
11,0,2,0,52,ex_0_Dinac_10uM_S52,0
12,0,2,0,53,ex_0_Dinac_10uM_S53,0
13,0,2,0,54,ex_0_Dinac_10uM_S54,0
14,0,2,0,55,ex_0_Dinac_10uM_S55,0
15,0,2,0,57,ex_0_Dinac_10uM_S57,0
16,0,2,0,58,ex_0_Dinac_10uM_S58,0
17,0,2,0,59,ex_0_Dinac_10uM_S59,0
18,0,2,0,60,ex_0_Dinac_10uM_S60,0
19,0,4,0,41,ex_0_TMZ_10uM_S41,0
20,0,4,0,42,ex_0_TMZ_10uM_S42,1
21,0,4,0,43,ex_0_TMZ_10uM_S43,0
22,0,4,0,44,ex_0_TMZ_10uM_S44,1
23,0,4,0,46,ex_0_TMZ_10uM_S46,0
24,0,4,0,47,ex_0_TMZ_10uM_S47,1
25,0,4,0,50,ex_0_TMZ_10uM_S50,1
