,rec_ind0,rec_ind1,rec_ind2,rec_ind3,sp_name,is_invasive
0,2,0,3,1,ex_2_GBM39_Control_1,1
1,2,0,3,2,ex_2_GBM39_Control_2,1
2,2,0,3,3,ex_2_GBM39_Control_3,1
3,2,0,3,4,ex_2_GBM39_Control_4,1
4,2,0,3,6,ex_2_GBM39_Control_6,1
5,2,0,3,7,ex_2_GBM39_Control_7,1
6,2,0,3,10,ex_2_GBM39_Control_10,1
7,2,1,3,1,ex_2_GBM39_Dinac_1uM_1,1
8,2,1,3,2,ex_2_GBM39_Dinac_1uM_2,0
9,2,1,3,3,ex_2_GBM39_Dinac_1uM_3,0
10,2,1,3,5,ex_2_GBM39_Dinac_1uM_5,0
11,2,1,3,6,ex_2_GBM39_Dinac_1uM_6,0
12,2,1,3,7,ex_2_GBM39_Dinac_1uM_7,0
13,2,1,3,8,ex_2_GBM39_Dinac_1uM_8,0
14,2,1,3,9,ex_2_GBM39_Dinac_1uM_9,0
15,2,1,3,10,ex_2_GBM39_Dinac_1uM_10,0
16,2,2,3,1,ex_2_GBM39_Dinac_10uM_1,0
17,2,2,3,2,ex_2_GBM39_Dinac_10uM_2,0
18,2,2,3,3,ex_2_GBM39_Dinac_10uM_3,1
19,2,2,3,4,ex_2_GBM39_Dinac_10uM_4,0
20,2,2,3,5,ex_2_GBM39_Dinac_10uM_5,1
21,2,2,3,6,ex_2_GBM39_Dinac_10uM_6,0
22,2,2,3,7,ex_2_GBM39_Dinac_10uM_7,1
23,2,2,3,8,ex_2_GBM39_Dinac_10uM_8,1
24,2,2,3,10,ex_2_GBM39_Dinac_10uM_10,1
25,2,3,3,1,ex_2_GBM39_TMZ_1uM_1,1
26,2,3,3,2,ex_2_GBM39_TMZ_1uM_2,1
27,2,3,3,3,ex_2_GBM39_TMZ_1uM_3,1
28,2,3,3,4,ex_2_GBM39_TMZ_1uM_4,1
29,2,3,3,5,ex_2_GBM39_TMZ_1uM_5,1
30,2,3,3,6,ex_2_GBM39_TMZ_1uM_6,1
31,2,3,3,7,ex_2_GBM39_TMZ_1uM_7,1
32,2,3,3,8,ex_2_GBM39_TMZ_1uM_8,1
33,2,3,3,9,ex_2_GBM39_TMZ_1uM_9,1
34,2,3,3,10,ex_2_GBM39_TMZ_1uM_10,0
35,2,4,3,1,ex_2_GBM39_TMZ_10uM_1,1
36,2,4,3,2,ex_2_GBM39_TMZ_10uM_2,1
37,2,4,3,3,ex_2_GBM39_TMZ_10uM_3,1
38,2,4,3,5,ex_2_GBM39_TMZ_10uM_5,1
39,2,4,3,6,ex_2_GBM39_TMZ_10uM_6,1
40,2,4,3,8,ex_2_GBM39_TMZ_10uM_8,1
41,2,4,3,9,ex_2_GBM39_TMZ_10uM_9,1
